[2023-08-21 01:59:33,311] INFO [Controller id=0 epoch=1] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2023-08-21 02:33:55,348] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-08-21 02:33:57,033] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,066] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,107] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,155] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,188] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,222] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,224] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,265] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,299] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,332] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,365] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,399] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,436] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-08-21 02:33:57,465] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(ZL-GUXnmQsu23QIRtw0HYw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
